label1;label2;label3;label4;label5;label6;label7;label8;label9;label10;label11;label12;label13;label14;label15;label16;label17;label18;label19;label20;label21;label22;label23;label24;label25;label26;label27;label28;label29;label30;label31;label32;label33;label34;label35;label36;label37;label38;label39;label40;label41;label42;label43;label44;label45;label46;label47;label48;label49;label50;label51;label52;label53;label54;label55;label56;label57;label58;label59;label60;label61;label62;label63;label64
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;4;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;42d0a988;d609e1d7;f2acf5b1;2c831836;1;f2d98656;0947b7d5;b7be6e14;ba83c26e;ba83c26e;01bbe758;293d439a;0f747593;293d439a;1;360.0;0.0;54.0;1.0;360.0;360.0;54.0;0.0;1.0;360.0;54.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;360.0;1.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;4;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;4ccbb287;d609e1d7;657e2c39;2c831836;1;f2d98656;0947b7d5;e82a76a4;ba83c26e;ba83c26e;01bbe758;293d439a;0f747593;293d439a;1;180.0;0.0;27.0;1.0;180.0;180.0;27.0;0.0;1.0;180.0;27.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;180.0;1.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;7;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;33736114;d609e1d7;657e2c39;2c831836;0;f2d98656;f8f375a6;e82a76a4;ba83c26e;ba83c26e;01bbe758;293d439a;0f747593;293d439a;2;480.0;0.0;72.0;2.0;480.0;480.0;72.0;0.0;2.0;480.0;72.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;360.0;2.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;7;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;33736114;d609e1d7;657e2c39;2c831836;0;f2d98656;f8f375a6;b7be6e14;ba83c26e;ba83c26e;ce052a4e;293d439a;0f747593;293d439a;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;180.0;1.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;7;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;33736114;d609e1d7;657e2c39;2c831836;0;f2d98656;f8f375a6;b7be6e14;ba83c26e;ba83c26e;01bbe758;293d439a;0f747593;293d439a;1;120.0;0.0;18.0;1.0;120.0;120.0;18.0;0.0;1.0;120.0;18.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;120.0;1.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;7;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;33736114;d609e1d7;657e2c39;2c831836;1;f2d98656;0947b7d5;b7be6e14;ba83c26e;ba83c26e;ce052a4e;293d439a;0f747593;293d439a;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;120.0;1.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;7;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;33736114;7d320c86;657e2c39;2c831836;0;f2d98656;f8f375a6;b7be6e14;ba83c26e;ba83c26e;01bbe758;293d439a;0f747593;293d439a;1;270.0;0.0;40.5;1.0;270.0;270.0;40.5;0.0;1.0;270.0;40.5;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;270.0;1.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;7;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;33736114;7d320c86;f2acf5b1;2c831836;0;f2d98656;0947b7d5;b7be6e14;ba83c26e;ba83c26e;01bbe758;293d439a;0f747593;293d439a;1;179.75;0.0;269.625;1.0;180.0;179.75;269.625;0.0;1.0;179.75;269.625;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;179.75;1.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;54a15958;6ba5a40b;49c7b717;7;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;42d0a988;d609e1d7;657e2c39;2c831836;0;f2d98656;0947b7d5;b7be6e14;ba83c26e;ba83c26e;01bbe758;293d439a;0f747593;293d439a;1;180.0;0.0;27.0;1.0;180.0;180.0;27.0;0.0;1.0;180.0;27.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;120.0;1.0;0.0;0.0;0.0;0.0
201801;2018;1;1d61fbb2;4ecce67d;895a3836;e6b475a9;6ba5a40b;832d7162;1;e44f417c;9af05131;2879f550;83ace6b9;ffaf46e8;48a6a4c0;f8f375a6;f8f375a6;f8f375a6;0;0;f8f375a6;6,24E+31;33736114;7d320c86;f2acf5b1;2c831836;0;f2d98656;0947b7d5;e82a76a4;ba83c26e;ba83c26e;01bbe758;293d439a;0f747593;293d439a;1;540.0;0.0;81.0;1.0;540.0;540.0;81.0;0.0;1.0;540.0;81.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
